image,gt_count,exp8_count,exp10_count,delta_exp8_minus_exp10,delta_exp8_minus_gt,delta_exp10_minus_gt,score
test_0187_(110),4,2,0,2,-2,-4,4.400
test_0048_caries_0_3639,4,4,2,2,0,-2,4.200
test_0150_134,4,5,3,2,1,-1,2.100
test_0137_385,1,1,0,1,0,-1,2.100
test_0180_580,1,1,0,1,0,-1,2.100
test_0331_580,1,1,0,1,0,-1,2.100
test_0371_caries_0_3588,1,1,0,1,0,-1,2.100
test_0160_caries_0_4890,2,2,1,1,0,-1,2.100
test_0200_caries_0_4890,2,2,1,1,0,-1,2.100
test_0120_caries_0_7,3,3,2,1,0,-1,2.100
test_0296_caries_0_7,3,3,2,1,0,-1,2.100
test_0336_caries_0_3906,3,3,2,1,0,-1,2.100
test_0273_caries_0_304,4,4,3,1,0,-1,2.100
test_0318_caries_0_304,4,4,3,1,0,-1,2.100
