epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,164.657,2.37612,2.9596,2.06956,0.33122,0.31853,0.24467,0.0843,2.24312,2.34629,2.01549,0.0099422,0.00331407,0.0099422,0.00331407,0.0099422,0.00331407,0.0099422,0.00331407
2,320.576,2.14457,2.20893,1.79612,0.27678,0.25658,0.18374,0.06405,2.33048,2.5721,2.19645,0.0198632,0.00662108,0.0198632,0.00662108,0.0198632,0.00662108,0.0198632,0.00662108
3,468.823,2.17312,2.16338,1.77358,0.36694,0.29398,0.26371,0.08564,2.37595,2.77341,2.02765,0.0297051,0.00990168,0.0297051,0.00990168,0.0297051,0.00990168,0.0297051,0.00990168
4,614.911,2.22775,2.21021,1.79456,0.37413,0.36755,0.31101,0.10108,2.30553,2.27161,1.89607,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
5,759.986,2.20668,2.16095,1.7972,0.34317,0.31696,0.27404,0.09147,2.32763,2.38928,1.90094,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
6,904.369,2.15592,2.09033,1.7947,0.40668,0.42139,0.34723,0.12042,2.20033,2.15196,1.95365,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
7,1047.92,2.14442,2.00549,1.77478,0.42973,0.42548,0.37766,0.14163,2.1351,2.04176,1.81902,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
8,1191.41,2.08949,1.93567,1.73942,0.4528,0.46756,0.39978,0.14726,2.18099,1.94099,1.85569,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
9,1335.47,2.08241,1.86248,1.72986,0.50726,0.47224,0.46162,0.1719,2.12576,1.87416,1.87404,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
10,1479.55,2.02068,1.81577,1.69319,0.51443,0.48568,0.46333,0.17631,2.10745,1.83245,1.80424,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
11,1622.85,2.00861,1.74112,1.6861,0.57852,0.48919,0.4961,0.19195,2.09084,1.72202,1.78462,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
12,1765.68,1.97045,1.65466,1.64963,0.47353,0.49211,0.42887,0.16722,2.08709,1.77288,1.80914,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
13,1908.86,1.969,1.61492,1.64977,0.56276,0.50099,0.5143,0.20675,2.04543,1.63788,1.75876,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
14,2052.56,1.92446,1.57763,1.62995,0.54826,0.5405,0.54308,0.2253,1.98061,1.62774,1.74445,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
15,2195.22,1.90732,1.53415,1.61503,0.61394,0.56509,0.57055,0.2372,1.95343,1.54034,1.68321,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
16,2338.33,1.87756,1.50336,1.57741,0.64119,0.54206,0.58073,0.24287,1.9987,1.49638,1.71556,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
17,2482.27,1.85593,1.45678,1.5689,0.59577,0.5751,0.56573,0.24372,1.92256,1.49757,1.69264,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
18,2626.81,1.81403,1.39461,1.54489,0.63292,0.59456,0.59494,0.26062,1.88474,1.41406,1.65073,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
19,2766.23,1.78612,1.34355,1.51703,0.62912,0.62359,0.61147,0.26821,1.87188,1.35607,1.64342,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
20,2815.82,1.78392,1.3635,1.52153,0.67909,0.58129,0.6345,0.28312,1.86084,1.35061,1.6361,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
21,2865.71,1.76414,1.3104,1.50531,0.64422,0.60549,0.60875,0.26257,1.88026,1.38453,1.64862,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
22,2915.38,1.75243,1.31084,1.50572,0.61986,0.61017,0.62002,0.28621,1.84215,1.33625,1.62587,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
23,2965.31,1.71653,1.28467,1.48251,0.67933,0.62361,0.64851,0.29494,1.8246,1.32053,1.61428,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
24,3015.39,1.69456,1.24748,1.46968,0.71475,0.58387,0.65475,0.30052,1.81312,1.29614,1.61659,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
25,3065.38,1.67292,1.2244,1.45991,0.67808,0.64816,0.65421,0.31241,1.78777,1.22588,1.62057,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
26,3115.26,1.65677,1.22018,1.44722,0.66025,0.62478,0.63513,0.29962,1.78753,1.26665,1.60522,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
27,3165.41,1.64847,1.18178,1.43606,0.65526,0.66097,0.65343,0.30609,1.78775,1.22566,1.58193,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
