epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,61.0751,4.19856,4.19836,4.10976,0.00215,0.29632,0.00448,0.00136,3.60994,3.64541,3.89783,0.0099422,0.00331407,0.0099422,0.00331407,0.0099422,0.00331407,0.0099422,0.00331407
2,114.291,3.3829,3.51215,3.49649,0.09304,0.11163,0.03412,0.00987,2.99426,3.19537,3.26873,0.0198632,0.00662108,0.0198632,0.00662108,0.0198632,0.00662108,0.0198632,0.00662108
3,165.139,2.88902,3.02812,2.86393,0.14035,0.11514,0.05654,0.01651,2.80347,3.22606,2.99463,0.0297051,0.00990168,0.0297051,0.00990168,0.0297051,0.00990168,0.0297051,0.00990168
4,215.409,2.65519,2.84059,2.61412,0.22105,0.18761,0.10392,0.03046,2.62213,2.81154,2.7645,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
5,267.11,2.51715,2.67151,2.43852,0.24102,0.23378,0.15856,0.04542,2.55423,2.62539,2.60603,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
6,319.319,2.43773,2.5597,2.34853,0.24973,0.26067,0.1689,0.05151,2.4299,2.65608,2.52292,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
7,371.805,2.38391,2.46986,2.27326,0.31526,0.28463,0.21462,0.0685,2.34109,2.46091,2.43325,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
8,425.253,2.33208,2.38733,2.22407,0.30463,0.29393,0.22366,0.07055,2.31769,2.47527,2.3657,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
9,479.162,2.30572,2.3217,2.17195,0.36065,0.33548,0.27567,0.09182,2.30159,2.2909,2.34658,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
10,533.591,2.24704,2.28578,2.14121,0.39671,0.3647,0.3134,0.10598,2.2563,2.23796,2.28911,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
11,587.753,2.2441,2.21966,2.12106,0.3823,0.40621,0.3416,0.11917,2.17908,2.11034,2.24495,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
12,642.344,2.19647,2.14289,2.07679,0.35242,0.32262,0.27559,0.1005,2.19594,2.27149,2.22578,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
13,696.908,2.17662,2.07966,2.04595,0.43517,0.42281,0.38579,0.13703,2.17235,2.05099,2.22122,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
14,751.78,2.15583,2.0443,2.03331,0.44375,0.4325,0.37304,0.13077,2.14873,2.06413,2.18118,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
15,806.838,2.13117,2.01698,2.0202,0.45474,0.41146,0.39656,0.1426,2.16495,2.01606,2.19851,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
16,861.965,2.12244,1.99141,1.99294,0.47541,0.41737,0.40241,0.14853,2.17667,1.98789,2.2051,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
17,917.364,2.09221,1.92946,1.97801,0.50788,0.44769,0.43891,0.17033,2.07402,1.8965,2.13463,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
18,972.526,2.04763,1.86624,1.9597,0.5191,0.4962,0.48634,0.18332,2.06042,1.81242,2.14753,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
19,1024.57,2.04602,1.82144,1.94567,0.5594,0.47808,0.48256,0.18518,2.06554,1.79897,2.11585,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
20,1073.92,2.04243,1.83564,1.93937,0.52557,0.49036,0.48115,0.18383,2.05879,1.79429,2.10379,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
21,1123.35,2.01021,1.75338,1.88986,0.54428,0.50614,0.48321,0.17851,2.08453,1.75955,2.10931,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
22,1172.61,1.99969,1.75218,1.90049,0.56177,0.50205,0.50703,0.20209,2.00257,1.7498,2.0521,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
23,1221.78,1.97478,1.70793,1.88207,0.53645,0.52283,0.49354,0.18976,2.05698,1.72902,2.10259,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
24,1270.91,1.95802,1.6742,1.86019,0.55468,0.50847,0.50322,0.20029,2.01981,1.6746,2.08341,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
25,1320.2,1.9545,1.66287,1.8635,0.56844,0.55172,0.53955,0.21782,1.98223,1.64623,2.02325,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
