epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,60.1977,3.85388,3.80041,3.87185,0.08528,0.08007,0.0306,0.00821,3.13644,3.20297,3.52415,0.0099422,0.00331407,0.0099422,0.00331407,0.0099422,0.00331407,0.0099422,0.00331407
2,113.969,3.11673,3.22827,3.17187,0.10584,0.07072,0.03743,0.01057,2.84375,3.13787,3.06853,0.0198632,0.00662108,0.0198632,0.00662108,0.0198632,0.00662108,0.0198632,0.00662108
3,164.178,2.79308,2.9126,2.75227,0.15642,0.13482,0.06031,0.01604,2.85503,3.68741,2.93428,0.0297051,0.00990168,0.0297051,0.00990168,0.0297051,0.00990168,0.0297051,0.00990168
4,213.772,2.62374,2.78813,2.58276,0.21949,0.05435,0.04819,0.01499,2.70377,3.13849,2.82413,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
5,263.44,2.49675,2.61615,2.43085,0.25213,0.21742,0.16182,0.05006,2.50232,2.70887,2.58869,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
6,313.372,2.41644,2.51235,2.34225,0.24061,0.2256,0.1666,0.05189,2.38804,2.54864,2.47924,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
7,363.253,2.36089,2.42715,2.264,0.24625,0.3232,0.20063,0.06322,2.34771,2.45332,2.4206,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
8,412.953,2.30571,2.33813,2.21969,0.32671,0.31385,0.24161,0.08204,2.32396,2.37162,2.3943,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
9,463.121,2.29559,2.25773,2.17475,0.30196,0.33197,0.22407,0.07287,2.27845,2.33328,2.32538,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
10,513.131,2.22831,2.22291,2.14579,0.40304,0.35885,0.32039,0.10957,2.20734,2.19756,2.27969,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
11,563.858,2.21667,2.15724,2.12505,0.40404,0.38399,0.32606,0.11495,2.23115,2.12682,2.28406,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
12,615.301,2.1851,2.0756,2.0887,0.24021,0.24664,0.18059,0.06561,2.27716,2.55107,2.35414,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
13,666.875,2.16162,2.01778,2.05021,0.42218,0.43556,0.36631,0.13289,2.15977,2.00066,2.24433,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
14,718.224,2.13853,1.98605,2.04106,0.47855,0.42641,0.40586,0.15074,2.13022,2.02484,2.20575,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
15,768.188,2.11076,1.93873,2.02414,0.48477,0.4325,0.42975,0.15845,2.10726,1.88652,2.18473,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
16,817.802,2.10054,1.93392,2.0016,0.49337,0.46406,0.43313,0.1579,2.11152,1.86648,2.2009,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
17,867.651,2.06368,1.85798,1.975,0.51114,0.44886,0.44357,0.17021,2.07833,1.87118,2.15652,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
