epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8519,2.28117,2.95667,1.90044,0.27973,0.26008,0.187,0.05745,2.31123,2.64629,2.03247,0.000662813,0.000662813,0.000662813
2,88.073,2.24889,2.51617,1.90982,0.30484,0.27411,0.20231,0.06452,2.44897,3.33926,2.13613,0.00130316,0.00130316,0.00130316
3,127.661,2.26524,2.37055,1.91259,0.28022,0.23261,0.16966,0.05295,2.4191,2.71366,2.04729,0.0019171,0.0019171,0.0019171
4,167.261,2.2481,2.33813,1.89785,0.33472,0.28112,0.2214,0.07218,2.38314,2.5644,2.12363,0.0018812,0.0018812,0.0018812
5,206.555,2.20852,2.22594,1.86352,0.36336,0.34074,0.27291,0.08336,2.35795,2.94153,2.04623,0.0018416,0.0018416,0.0018416
6,245.914,2.15525,2.16437,1.82196,0.43198,0.36645,0.33432,0.11325,2.16348,2.198,1.91502,0.001802,0.001802,0.001802
7,285.174,2.14235,2.10741,1.79069,0.44464,0.4284,0.36245,0.13052,2.18029,2.13423,1.90629,0.0017624,0.0017624,0.0017624
8,324.141,2.10606,2.05005,1.80231,0.42965,0.41496,0.35771,0.12831,2.16362,2.1004,1.88935,0.0017228,0.0017228,0.0017228
9,363.261,2.10683,1.97321,1.76185,0.42867,0.4173,0.36818,0.13221,2.19008,2.05456,1.91233,0.0016832,0.0016832,0.0016832
10,402.348,2.04451,1.94459,1.74433,0.49856,0.48101,0.45078,0.17122,2.09915,1.97968,1.87902,0.0016436,0.0016436,0.0016436
11,441.34,2.05012,1.90179,1.75334,0.492,0.45354,0.43911,0.16118,2.14777,1.94472,1.9513,0.001604,0.001604,0.001604
12,480.351,2.01726,1.83227,1.69911,0.50918,0.47656,0.46767,0.18218,2.0797,1.84718,1.81591,0.0015644,0.0015644,0.0015644
13,519.543,2.01719,1.79935,1.70413,0.51551,0.53302,0.49862,0.19544,2.07595,1.74871,1.81187,0.0015248,0.0015248,0.0015248
14,558.597,1.99168,1.75249,1.6946,0.51672,0.52133,0.48779,0.18986,2.07383,1.79315,1.82844,0.0014852,0.0014852,0.0014852
15,598.052,1.96542,1.71558,1.67611,0.51451,0.49036,0.49798,0.20129,1.99509,1.73445,1.7738,0.0014456,0.0014456,0.0014456
16,637.046,1.96336,1.69444,1.65847,0.51517,0.52367,0.50524,0.20144,2.06267,1.69372,1.8073,0.001406,0.001406,0.001406
17,676.322,1.94394,1.66449,1.64174,0.52419,0.51724,0.50248,0.21211,1.98396,1.69385,1.74426,0.0013664,0.0013664,0.0013664
18,715.443,1.89861,1.60718,1.62376,0.55226,0.54296,0.53472,0.22231,1.96085,1.6165,1.73149,0.0013268,0.0013268,0.0013268
19,754.483,1.89891,1.56859,1.61824,0.5436,0.53531,0.52957,0.21455,2.03677,1.6553,1.76849,0.0012872,0.0012872,0.0012872
20,793.335,1.90076,1.61049,1.62165,0.58778,0.56517,0.56359,0.23136,1.96837,1.58104,1.74987,0.0012476,0.0012476,0.0012476
21,832.462,1.86388,1.50314,1.59255,0.607,0.59906,0.60003,0.24955,1.93001,1.50211,1.69723,0.001208,0.001208,0.001208
22,871.433,1.86363,1.51498,1.59064,0.5755,0.58971,0.57475,0.25363,1.90299,1.50839,1.67414,0.0011684,0.0011684,0.0011684
23,910.437,1.82178,1.46771,1.56776,0.62084,0.57899,0.59118,0.24785,1.96029,1.50143,1.73616,0.0011288,0.0011288,0.0011288
24,949.331,1.7946,1.44125,1.55177,0.59124,0.58679,0.57086,0.24446,1.89822,1.47569,1.71012,0.0010892,0.0010892,0.0010892
25,988.318,1.79947,1.43992,1.55974,0.63836,0.58153,0.61263,0.26358,1.90519,1.45483,1.70799,0.0010496,0.0010496,0.0010496
26,1027.26,1.7732,1.40859,1.54711,0.63585,0.60666,0.62654,0.2788,1.84882,1.39147,1.68469,0.00101,0.00101,0.00101
27,1066.03,1.77038,1.38028,1.53155,0.64542,0.58212,0.61901,0.27402,1.87325,1.43624,1.66813,0.0009704,0.0009704,0.0009704
28,1105.05,1.76465,1.35267,1.53042,0.64847,0.62244,0.63206,0.28559,1.82021,1.34641,1.63949,0.0009308,0.0009308,0.0009308
29,1144.07,1.73481,1.34093,1.50897,0.66172,0.59731,0.63708,0.28809,1.8352,1.33519,1.63162,0.0008912,0.0008912,0.0008912
