epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8301,1.52147,1.06816,1.37625,0.69697,0.6803,0.68053,0.33064,1.73354,1.15666,1.5874,0.000662813,0.000662813,0.000662813
2,87.5189,1.63881,1.19033,1.43632,0.62682,0.57043,0.58862,0.25248,1.97267,1.49728,1.73014,0.00131632,0.00131632,0.00131632
3,126.802,1.71023,1.27679,1.47256,0.68681,0.62546,0.65213,0.2815,1.86248,1.33929,1.63865,0.00195662,0.00195662,0.00195662
4,165.911,1.74368,1.33234,1.50522,0.5433,0.4851,0.46337,0.17585,2.19626,1.81717,1.93378,0.0019406,0.0019406,0.0019406
5,205.171,1.75339,1.34829,1.51344,0.61906,0.58316,0.60377,0.25664,1.90642,1.49635,1.66288,0.0019208,0.0019208,0.0019208
6,244.339,1.75601,1.3451,1.49887,0.63229,0.60432,0.60105,0.2631,1.93057,1.48206,1.7217,0.001901,0.001901,0.001901
7,283.517,1.74929,1.34078,1.50634,0.56733,0.469,0.48076,0.19067,2.12548,1.7605,1.80991,0.0018812,0.0018812,0.0018812
8,322.582,1.71215,1.32495,1.4924,0.58487,0.55499,0.55592,0.23439,1.99115,1.56098,1.73033,0.0018614,0.0018614,0.0018614
9,361.483,1.73113,1.30626,1.49122,0.65522,0.60534,0.63615,0.28274,1.88079,1.36128,1.65583,0.0018416,0.0018416,0.0018416
10,400.34,1.6822,1.29483,1.4695,0.70433,0.60783,0.65064,0.28812,1.86341,1.3026,1.6249,0.0018218,0.0018218,0.0018218
11,439.419,1.71776,1.2937,1.48411,0.64338,0.55674,0.6,0.25592,1.9482,1.41861,1.71269,0.001802,0.001802,0.001802
12,478.369,1.68544,1.2453,1.4562,0.66746,0.56895,0.62372,0.27485,1.91906,1.35928,1.69162,0.0017822,0.0017822,0.0017822
13,517.353,1.6996,1.2503,1.47156,0.6508,0.61777,0.64744,0.29936,1.84002,1.28866,1.61725,0.0017624,0.0017624,0.0017624
14,556.259,1.67618,1.23236,1.45313,0.64733,0.62006,0.62275,0.28055,1.86787,1.35803,1.62326,0.0017426,0.0017426,0.0017426
15,595.143,1.67538,1.22932,1.45974,0.65507,0.62069,0.63841,0.29276,1.81186,1.29072,1.61508,0.0017228,0.0017228,0.0017228
16,634.064,1.65847,1.21488,1.43939,0.61859,0.58865,0.60343,0.26364,1.90861,1.41032,1.68876,0.001703,0.001703,0.001703
17,672.786,1.66998,1.22885,1.44315,0.66828,0.65693,0.65275,0.31271,1.75295,1.22743,1.58205,0.0016832,0.0016832,0.0016832
18,711.579,1.62083,1.19088,1.42662,0.6742,0.62361,0.63464,0.29255,1.82148,1.29062,1.60993,0.0016634,0.0016634,0.0016634
