epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.0786,2.3216,2.83375,1.96998,0.27971,0.27002,0.17288,0.05257,2.44182,2.59246,2.17163,0.000662813,0.000662813,0.000662813
2,124.087,2.32254,2.41743,1.9741,0.05603,0.16598,0.0291,0.009,2.57621,4.078,2.32645,0.00131632,0.00131632,0.00131632
3,182.45,2.31428,2.3871,1.97154,0.25074,0.26242,0.17168,0.05366,2.44736,2.60783,2.15747,0.00195662,0.00195662,0.00195662
4,242.053,2.28389,2.33115,1.9567,0.3237,0.32846,0.23483,0.07588,2.32911,2.70131,2.10687,0.0019406,0.0019406,0.0019406
5,301.979,2.2396,2.2583,1.92905,0.36604,0.3384,0.27671,0.09165,2.31948,2.55824,2.10212,0.0019208,0.0019208,0.0019208
6,360.93,2.19135,2.18868,1.88678,0.38824,0.37463,0.30499,0.09923,2.23998,2.27194,1.96377,0.001901,0.001901,0.001901
7,419.65,2.14519,2.09797,1.84785,0.43484,0.40094,0.36693,0.12921,2.17528,2.09197,1.95942,0.0018812,0.0018812,0.0018812
8,478.82,2.12425,2.04057,1.83835,0.46107,0.44068,0.38512,0.13314,2.20605,2.11691,2.01049,0.0018614,0.0018614,0.0018614
9,538.102,2.11978,1.96709,1.81808,0.44129,0.44223,0.39749,0.14737,2.17311,2.09414,1.94373,0.0018416,0.0018416,0.0018416
10,596.728,2.05939,1.9543,1.79039,0.49854,0.43462,0.42372,0.15628,2.1476,1.96557,1.93818,0.0018218,0.0018218,0.0018218
11,654.776,2.06523,1.87042,1.78711,0.47836,0.41438,0.39307,0.14439,2.15626,1.98697,1.95864,0.001802,0.001802,0.001802
12,714.379,2.01257,1.81485,1.75383,0.53081,0.48743,0.47332,0.18397,2.0869,1.849,1.89213,0.0017822,0.0017822,0.0017822
