epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,60.0826,1.04488,0.68005,1.12041,0.79849,0.75497,0.78038,0.47983,1.33194,0.86361,1.39732,0.0099422,0.00331407,0.0099422,0.00331407,0.0099422,0.00331407,0.0099422,0.00331407
2,112.787,1.10408,0.71546,1.14562,0.76657,0.73318,0.75025,0.43644,1.4358,0.98292,1.4529,0.0198632,0.00662108,0.0198632,0.00662108,0.0198632,0.00662108,0.0198632,0.00662108
3,162.689,1.16324,0.76378,1.16889,0.70507,0.72122,0.72756,0.3973,1.56294,1.06944,1.49047,0.0297051,0.00990168,0.0297051,0.00990168,0.0297051,0.00990168,0.0297051,0.00990168
4,211.635,1.20192,0.80571,1.19071,0.76734,0.70602,0.73274,0.40745,1.53261,1.01565,1.48454,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
5,260.887,1.22434,0.81621,1.2008,0.74743,0.69842,0.70506,0.38066,1.6037,1.09519,1.54736,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
6,310.141,1.23215,0.80878,1.20032,0.79472,0.74167,0.74687,0.42357,1.43135,0.93384,1.41724,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
7,359.504,1.23191,0.81709,1.20144,0.77617,0.73976,0.76728,0.43812,1.44501,0.94481,1.42036,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
8,408.752,1.22571,0.80252,1.19747,0.74203,0.70894,0.72934,0.40233,1.54302,1.03637,1.50376,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
9,458.173,1.25118,0.8036,1.2134,0.78712,0.71098,0.74013,0.40492,1.52765,1.00739,1.46799,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
10,507.409,1.20082,0.78986,1.18772,0.79981,0.74255,0.77017,0.44431,1.43959,0.94915,1.40954,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
11,556.728,1.2131,0.79564,1.19577,0.80024,0.74454,0.77337,0.44928,1.41144,0.93749,1.40939,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
