epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,66.9404,4.26335,4.28369,4.12212,0.00076,0.1052,0.00042,0.00014,4.02909,3.86651,4.03891,0.0099422,0.00331407,0.0099422,0.00331407,0.0099422,0.00331407,0.0099422,0.00331407
2,125.311,3.55352,3.65546,3.57406,0.05384,0.07189,0.01966,0.00687,2.98711,3.8165,3.32872,0.0198632,0.00662108,0.0198632,0.00662108,0.0198632,0.00662108,0.0198632,0.00662108
3,181.11,2.96746,3.12608,2.93659,0.14803,0.14227,0.06478,0.01825,2.77984,3.46937,2.91869,0.0297051,0.00990168,0.0297051,0.00990168,0.0297051,0.00990168,0.0297051,0.00990168
4,235.807,2.73666,2.88685,2.66255,0.18014,0.13501,0.07575,0.02083,2.70356,2.96934,2.77832,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
5,290.654,2.56375,2.72667,2.48798,0.20525,0.17241,0.10342,0.02798,2.71907,2.97937,2.75295,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
6,345.422,2.47524,2.60191,2.39549,0.21061,0.24547,0.14063,0.04283,2.41331,2.7301,2.5159,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
7,400.267,2.42454,2.50421,2.31824,0.30907,0.26641,0.19519,0.06126,2.37982,2.73511,2.44421,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
8,454.989,2.35464,2.39876,2.25816,0.31404,0.28989,0.21863,0.06721,2.36744,2.45537,2.44735,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
9,509.865,2.32545,2.33141,2.20176,0.36126,0.29924,0.26089,0.08596,2.3078,2.31205,2.38287,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
10,564.679,2.2462,2.27972,2.17365,0.39143,0.38749,0.32588,0.11207,2.20994,2.19361,2.32231,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
11,619.547,2.24039,2.19798,2.15618,0.40975,0.36759,0.32406,0.11055,2.22325,2.13627,2.30427,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
12,674.128,2.20391,2.12999,2.10694,0.41107,0.39041,0.3445,0.12626,2.16202,2.09789,2.2186,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
13,728.817,2.16909,2.0568,2.05641,0.43153,0.43717,0.38399,0.13443,2.18051,2.02085,2.27493,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
14,783.555,2.15967,2.04112,2.05251,0.39831,0.43483,0.36685,0.12877,2.14879,1.9719,2.20526,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
15,838.247,2.1305,1.97501,2.03972,0.47348,0.44652,0.41934,0.1569,2.12344,1.94675,2.17585,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
16,892.801,2.1209,1.95957,2.01474,0.46979,0.45178,0.41679,0.151,2.15879,1.91751,2.2385,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
17,947.372,2.08844,1.90149,1.99125,0.51952,0.44535,0.44392,0.167,2.09365,1.90573,2.16803,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
18,1002,2.04233,1.82785,1.96819,0.53113,0.50964,0.48928,0.18546,2.10096,1.75282,2.15328,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
19,1056.71,2.02868,1.75872,1.9464,0.52564,0.5225,0.50758,0.19729,2.05969,1.74544,2.13127,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
20,1111.34,2.0314,1.78458,1.94279,0.54482,0.52016,0.5062,0.19569,2.0706,1.70741,2.14899,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
21,1165.85,1.99339,1.70098,1.90501,0.58007,0.53945,0.52798,0.20254,2.07154,1.64909,2.12313,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
22,1220.3,2.00466,1.72691,1.92458,0.55573,0.52126,0.51017,0.2027,2.01472,1.69647,2.0806,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
23,1274.91,1.9484,1.66514,1.88324,0.57986,0.55874,0.55307,0.22527,2.01005,1.60083,2.0905,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
24,1329.26,1.94922,1.62376,1.86677,0.58455,0.54413,0.54179,0.21828,1.9957,1.6089,2.07019,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
