epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.7288,0.88934,0.59923,1.01616,0.84136,0.77185,0.79928,0.56846,1.0479,0.72928,1.22266,0.000662813,0.000662813,0.000662813
2,105.171,0.92086,0.6226,1.02974,0.81949,0.75511,0.79095,0.5149,1.19847,0.78709,1.30665,0.0013229,0.0013229,0.0013229
3,156.084,1.06429,0.7225,1.09174,0.77602,0.74401,0.76433,0.46243,1.35584,0.90839,1.36153,0.00197638,0.00197638,0.00197638
4,206.837,1.14224,0.79483,1.1397,0.80077,0.72355,0.7554,0.44665,1.3941,0.95379,1.39078,0.0019703,0.0019703,0.0019703
5,257.626,1.16255,0.80113,1.15183,0.766,0.72648,0.7576,0.44578,1.38434,0.95216,1.41239,0.0019604,0.0019604,0.0019604
6,308.382,1.17698,0.80944,1.15297,0.76329,0.7405,0.76677,0.46622,1.37625,0.93454,1.3834,0.0019505,0.0019505,0.0019505
7,359.033,1.15784,0.79703,1.1445,0.79829,0.71473,0.75416,0.4564,1.36046,0.9088,1.35754,0.0019406,0.0019406,0.0019406
8,409.712,1.15469,0.78114,1.14739,0.77417,0.73349,0.75297,0.46217,1.35218,0.94401,1.39277,0.0019307,0.0019307,0.0019307
9,460.329,1.15396,0.76856,1.1437,0.79889,0.729,0.76084,0.45967,1.34784,0.9226,1.35237,0.0019208,0.0019208,0.0019208
10,510.825,1.11251,0.75879,1.12686,0.78325,0.754,0.77375,0.47588,1.3446,0.90864,1.36288,0.0019109,0.0019109,0.0019109
11,561.423,1.12518,0.76057,1.131,0.79665,0.75102,0.77656,0.4748,1.33375,0.88447,1.36716,0.001901,0.001901,0.001901
12,611.853,1.11583,0.74786,1.12378,0.78892,0.7633,0.77107,0.48275,1.30077,0.8787,1.34134,0.0018911,0.0018911,0.0018911
13,662.313,1.09933,0.73598,1.11778,0.80456,0.74343,0.76742,0.48293,1.31011,0.85807,1.34523,0.0018812,0.0018812,0.0018812
14,712.773,1.09571,0.73145,1.11307,0.81656,0.75745,0.78794,0.48487,1.32537,0.88293,1.35174,0.0018713,0.0018713,0.0018713
15,763.214,1.1065,0.73827,1.12517,0.81083,0.76973,0.78238,0.49796,1.28588,0.8369,1.34329,0.0018614,0.0018614,0.0018614
16,813.633,1.09406,0.7272,1.1127,0.79594,0.75911,0.76268,0.47895,1.30333,0.89521,1.34377,0.0018515,0.0018515,0.0018515
17,864.067,1.07472,0.7159,1.10031,0.80391,0.7668,0.77617,0.4904,1.24484,0.85149,1.30937,0.0018416,0.0018416,0.0018416
18,914.523,1.07445,0.72079,1.11142,0.80463,0.76739,0.77685,0.48396,1.28115,0.84548,1.33691,0.0018317,0.0018317,0.0018317
19,965.079,1.05581,0.68871,1.09524,0.78922,0.76154,0.77126,0.48207,1.27025,0.85496,1.33869,0.0018218,0.0018218,0.0018218
20,1015.58,1.06846,0.71573,1.10671,0.82491,0.74342,0.77659,0.49883,1.26639,0.84888,1.32764,0.0018119,0.0018119,0.0018119
21,1066.06,1.03564,0.67228,1.08059,0.81098,0.74635,0.77033,0.49441,1.25521,0.83709,1.33069,0.001802,0.001802,0.001802
22,1116.55,1.04391,0.69694,1.08793,0.83,0.7405,0.78325,0.49477,1.24285,0.83439,1.33766,0.0017921,0.0017921,0.0017921
23,1167.05,1.03433,0.67493,1.0889,0.83795,0.72835,0.7862,0.50119,1.27004,0.8474,1.32705,0.0017822,0.0017822,0.0017822
