epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.302,0.67931,0.45589,0.93649,0.83582,0.79739,0.81368,0.60426,0.92276,0.6652,1.19583,0.000662813,0.000662813,0.000662813
2,282.367,0.86514,0.57853,1.00633,0.84387,0.75161,0.78543,0.52241,1.16866,0.80584,1.2929,0.0013229,0.0013229,0.0013229
3,423.755,1.0204,0.67926,1.0702,0.8073,0.74926,0.7777,0.48216,1.29783,0.86525,1.32806,0.00197638,0.00197638,0.00197638
4,566.693,1.11758,0.77102,1.11905,0.79,0.71236,0.75142,0.44994,1.39089,0.91154,1.40403,0.0019703,0.0019703,0.0019703
5,706.836,1.13788,0.79697,1.13911,0.76645,0.74228,0.75377,0.46075,1.33221,0.93075,1.34737,0.0019604,0.0019604,0.0019604
6,847.179,1.1424,0.78834,1.13412,0.78889,0.70543,0.74862,0.45002,1.36698,0.95009,1.37386,0.0019505,0.0019505,0.0019505
7,987.032,1.13346,0.77995,1.13624,0.78431,0.71409,0.74489,0.45441,1.36374,0.94122,1.37412,0.0019406,0.0019406,0.0019406
8,1126.99,1.14707,0.78075,1.14269,0.79022,0.73531,0.75279,0.45654,1.34658,0.93694,1.37769,0.0019307,0.0019307,0.0019307
9,1262.26,1.14769,0.77606,1.14063,0.80566,0.73933,0.75214,0.45136,1.371,0.92799,1.36265,0.0019208,0.0019208,0.0019208
10,1321.02,1.09969,0.75343,1.12473,0.80969,0.7286,0.76615,0.47368,1.3164,0.89005,1.34736,0.0019109,0.0019109,0.0019109
11,1369.39,1.10593,0.74742,1.12701,0.7889,0.73407,0.76404,0.46092,1.33702,0.91359,1.38084,0.001901,0.001901,0.001901
12,1417.74,1.10895,0.74684,1.12756,0.80578,0.7323,0.77216,0.47977,1.29994,0.87762,1.37026,0.0018911,0.0018911,0.0018911
