epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,79.8964,4.18367,4.06675,4.09399,0.00273,0.1578,0.00262,0.00064,3.87524,3.79841,4.04047,0.0099422,0.00331407,0.0099422,0.00331407,0.0099422,0.00331407,0.0099422,0.00331407
2,152.289,3.38079,3.43057,3.46241,0.12417,0.0865,0.03724,0.0106,2.95575,3.34332,3.2256,0.0198632,0.00662108,0.0198632,0.00662108,0.0198632,0.00662108,0.0198632,0.00662108
3,222.384,2.8983,3.05692,2.87752,0.06422,0.045,0.01098,0.003,3.0519,3.90431,3.28748,0.0297051,0.00990168,0.0297051,0.00990168,0.0297051,0.00990168,0.0297051,0.00990168
4,292.283,2.68116,2.86077,2.6271,0.20635,0.15137,0.08853,0.02332,2.71917,2.93805,2.80001,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
5,362.32,2.53413,2.70776,2.45892,0.25306,0.22735,0.14461,0.04216,2.50667,2.60023,2.60634,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
6,432.887,2.44202,2.56882,2.35811,0.25622,0.26534,0.18684,0.06082,2.39431,2.6219,2.49053,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
7,503.299,2.37971,2.5105,2.28336,0.25793,0.23585,0.15705,0.04859,2.51251,2.71138,2.623,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
8,572.87,2.34023,2.4086,2.24836,0.30259,0.33665,0.2056,0.06644,2.2906,2.3589,2.35367,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
9,641.786,2.31789,2.35139,2.20074,0.32791,0.3308,0.23001,0.07433,2.25341,2.34467,2.32548,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
10,710.833,2.24512,2.29816,2.16479,0.37134,0.37042,0.30032,0.10005,2.24235,2.26514,2.31821,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
11,779.774,2.24055,2.22047,2.14289,0.34679,0.3571,0.28372,0.09762,2.18918,2.21689,2.26388,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
12,848.345,2.20637,2.14208,2.09739,0.41671,0.39392,0.3353,0.1166,2.23496,2.18613,2.27089,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
13,917.041,2.17248,2.08927,2.05797,0.42507,0.43425,0.36661,0.1286,2.19318,2.06806,2.2591,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
14,985.619,2.15884,2.04466,2.04825,0.4512,0.44351,0.3926,0.13987,2.14296,1.98345,2.21024,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
15,1054.4,2.1376,2.0043,2.04274,0.43842,0.4508,0.39586,0.14695,2.11539,1.98926,2.17336,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
16,1123.35,2.12092,1.97441,2.01074,0.44855,0.48568,0.41622,0.15671,2.10417,1.90928,2.18608,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
17,1192.85,2.09408,1.92895,1.9908,0.48952,0.47224,0.44123,0.16904,2.06727,1.87598,2.13086,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
18,1262.0,2.05258,1.87617,1.96865,0.51808,0.49153,0.46783,0.179,2.06646,1.80449,2.13593,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
19,1330.62,2.04065,1.82372,1.95156,0.49536,0.47458,0.45612,0.17076,2.13309,1.83627,2.17074,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
20,1399.21,2.05697,1.84015,1.95963,0.4887,0.48627,0.45675,0.16807,2.08188,1.80519,2.15822,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
21,1467.86,2.01477,1.75446,1.9155,0.56144,0.47458,0.48349,0.18639,2.07399,1.77778,2.13695,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
22,1536.43,2.01075,1.76425,1.93048,0.54967,0.50555,0.50421,0.20434,1.97267,1.7286,2.04645,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
23,1605.16,1.96809,1.69848,1.90148,0.52141,0.5114,0.47959,0.18609,2.07021,1.75899,2.13004,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
24,1673.69,1.96862,1.67757,1.8784,0.56541,0.51198,0.50471,0.19675,2.01824,1.68427,2.10524,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
25,1742.33,1.9519,1.65399,1.87919,0.5611,0.5412,0.51961,0.20375,2.00224,1.66029,2.07094,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
