epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.0714,4.01549,3.90359,3.75202,0.00187,0.25599,0.00131,0.00041,3.48453,3.44185,3.46892,0.00331407,0.00331407,0.0701734
2,94.7471,3.61525,3.47508,3.30036,0.0666,0.1128,0.02421,0.00628,3.11169,5.28339,3.1912,0.00662108,0.00662108,0.0401471
3,140.176,3.07219,3.19419,2.86967,0.07686,0.11105,0.0263,0.00724,3.02686,3.75979,3.00707,0.00990168,0.00990168,0.0100944
4,185.526,2.78219,2.96342,2.64756,0.12565,0.10579,0.05075,0.01593,2.72051,3.34574,2.77713,0.0098812,0.0098812,0.0098812
5,231.009,2.5978,2.76342,2.47953,0.22569,0.22268,0.13976,0.04152,2.55797,2.89072,2.62069,0.0098416,0.0098416,0.0098416
6,276.647,2.50612,2.63849,2.38998,0.177,0.22501,0.1025,0.03166,2.50423,2.81575,2.53059,0.009802,0.009802,0.009802
7,324.411,2.45333,2.54974,2.31576,0.26561,0.2858,0.1937,0.06281,2.35329,2.56743,2.4113,0.0097624,0.0097624,0.0097624
8,372.38,2.38206,2.4647,2.25118,0.26458,0.26768,0.17329,0.05313,2.44935,2.53192,2.42159,0.0097228,0.0097228,0.0097228
9,417.974,2.36283,2.39447,2.2071,0.26566,0.27528,0.17139,0.05721,2.29543,2.46628,2.30636,0.0096832,0.0096832,0.0096832
10,463.889,2.29235,2.36238,2.18352,0.35731,0.27294,0.23867,0.07716,2.2834,2.39393,2.34047,0.0096436,0.0096436,0.0096436
11,509.773,2.29439,2.29622,2.17182,0.35207,0.32379,0.26449,0.08703,2.2677,2.32361,2.32177,0.009604,0.009604,0.009604
12,555.202,2.25995,2.21954,2.12191,0.36186,0.36704,0.29883,0.1012,2.27725,2.20735,2.28444,0.0095644,0.0095644,0.0095644
13,600.489,2.23408,2.18842,2.09271,0.42029,0.38136,0.34886,0.11947,2.23079,2.14818,2.27088,0.0095248,0.0095248,0.0095248
14,645.903,2.22623,2.17489,2.0985,0.43943,0.40503,0.34616,0.11594,2.20595,2.1022,2.23122,0.0094852,0.0094852,0.0094852
15,691.339,2.19408,2.12766,2.08506,0.4311,0.40035,0.36462,0.13114,2.18672,2.12003,2.2282,0.0094456,0.0094456,0.0094456
16,736.569,2.18572,2.11259,2.05849,0.44888,0.4173,0.37087,0.13437,2.13814,2.04414,2.20553,0.009406,0.009406,0.009406
17,781.93,2.15991,2.03947,2.03402,0.43953,0.42724,0.41563,0.14851,2.11703,1.98671,2.19097,0.0093664,0.0093664,0.0093664
18,827.31,2.12906,1.99299,2.02871,0.48818,0.45704,0.44509,0.16141,2.12821,1.90703,2.20029,0.0093268,0.0093268,0.0093268
19,872.462,2.12196,1.96872,2.00547,0.45815,0.44652,0.41378,0.14756,2.14231,1.96429,2.18935,0.0092872,0.0092872,0.0092872
20,917.648,2.12824,1.97398,2.01982,0.49335,0.46815,0.44426,0.16273,2.12243,1.86439,2.1665,0.0092476,0.0092476,0.0092476
21,962.959,2.08191,1.88915,1.96358,0.48569,0.49562,0.44681,0.1706,2.07074,1.85909,2.14043,0.009208,0.009208,0.009208
22,1008.08,2.09897,1.91779,1.99222,0.50386,0.46356,0.45251,0.17311,2.10234,1.86728,2.14159,0.0091684,0.0091684,0.0091684
23,1053.32,2.04981,1.86729,1.9599,0.48751,0.50964,0.46879,0.17252,2.09177,1.83674,2.13312,0.0091288,0.0091288,0.0091288
24,1098.52,2.05266,1.84048,1.94372,0.50288,0.47121,0.4692,0.17395,2.09145,1.84383,2.14387,0.0090892,0.0090892,0.0090892
25,1143.83,2.03737,1.82221,1.94572,0.53961,0.52192,0.49421,0.19136,2.03571,1.76338,2.07757,0.0090496,0.0090496,0.0090496
26,1189.06,2.00834,1.77232,1.91979,0.51743,0.50134,0.48992,0.18209,2.05129,1.76693,2.12202,0.00901,0.00901,0.00901
27,1234.55,2.00215,1.74993,1.92178,0.50872,0.50029,0.47546,0.1805,2.05366,1.82102,2.1065,0.0089704,0.0089704,0.0089704
28,1279.96,1.99266,1.72576,1.91466,0.52328,0.5225,0.51807,0.2048,2.01496,1.6956,2.08915,0.0089308,0.0089308,0.0089308
29,1325.05,1.98796,1.73138,1.90747,0.55626,0.52532,0.52813,0.21293,1.98556,1.6751,2.06165,0.0088912,0.0088912,0.0088912
30,1370.47,1.97078,1.69568,1.90309,0.58698,0.52601,0.54169,0.22278,1.97121,1.62531,2.03608,0.0088516,0.0088516,0.0088516
31,1415.79,1.96396,1.67326,1.89093,0.55486,0.53887,0.52736,0.20753,2.04483,1.65591,2.09432,0.008812,0.008812,0.008812
32,1460.77,1.94228,1.67143,1.8792,0.56981,0.54179,0.54736,0.21962,1.99191,1.61619,2.04622,0.0087724,0.0087724,0.0087724
33,1505.89,1.94747,1.64985,1.87139,0.53812,0.54179,0.50723,0.20965,1.9507,1.61718,2.04072,0.0087328,0.0087328,0.0087328
34,1550.98,1.94025,1.61573,1.87275,0.59022,0.56692,0.55963,0.22637,1.96955,1.58157,2.04212,0.0086932,0.0086932,0.0086932
35,1595.67,1.91329,1.59013,1.84209,0.61005,0.5488,0.56236,0.22954,1.94518,1.5703,2.03637,0.0086536,0.0086536,0.0086536
36,1639.78,1.91405,1.57119,1.84064,0.57435,0.5716,0.54783,0.22944,1.96728,1.54807,2.05914,0.008614,0.008614,0.008614
37,1683.94,1.88392,1.54941,1.81757,0.60897,0.58212,0.58008,0.24141,1.92109,1.50344,2.02335,0.0085744,0.0085744,0.0085744
38,1728.11,1.8656,1.51049,1.80556,0.61443,0.56692,0.58091,0.24571,1.90374,1.51066,1.98292,0.0085348,0.0085348,0.0085348
39,1772.26,1.87261,1.51939,1.81508,0.64466,0.57893,0.60163,0.25683,1.88732,1.44386,1.99928,0.0084952,0.0084952,0.0084952
40,1816.46,1.85815,1.50344,1.79379,0.61343,0.59497,0.58467,0.2522,1.89568,1.45049,1.99046,0.0084556,0.0084556,0.0084556
41,1860.58,1.83357,1.45164,1.78071,0.62999,0.59407,0.59486,0.25096,1.92531,1.44733,2.00531,0.008416,0.008416,0.008416
42,1904.67,1.8162,1.44164,1.77454,0.63664,0.59848,0.61446,0.27246,1.86834,1.41031,1.98594,0.0083764,0.0083764,0.0083764
43,1948.73,1.80593,1.41215,1.77645,0.64466,0.56108,0.59188,0.26175,1.87943,1.42168,1.96918,0.0083368,0.0083368,0.0083368
44,1992.82,1.80591,1.42402,1.76298,0.64371,0.57866,0.59426,0.26454,1.85898,1.44963,1.98412,0.0082972,0.0082972,0.0082972
45,2037.04,1.76937,1.38626,1.73977,0.67871,0.58275,0.61493,0.27628,1.84441,1.38668,1.95929,0.0082576,0.0082576,0.0082576
46,2081.23,1.7794,1.38661,1.75125,0.61507,0.62712,0.61228,0.27558,1.85019,1.37368,1.95853,0.008218,0.008218,0.008218
47,2125.34,1.78192,1.35558,1.73792,0.64978,0.59439,0.61229,0.26782,1.85606,1.38867,1.95639,0.0081784,0.0081784,0.0081784
48,2169.49,1.76811,1.36806,1.73346,0.69027,0.59497,0.63062,0.27909,1.8602,1.34032,1.96862,0.0081388,0.0081388,0.0081388
49,2213.64,1.74582,1.33098,1.71645,0.67332,0.63004,0.65268,0.29559,1.81636,1.31596,1.93514,0.0080992,0.0080992,0.0080992
50,2257.78,1.74168,1.32638,1.72225,0.71498,0.61835,0.65196,0.301,1.81836,1.30987,1.93885,0.0080596,0.0080596,0.0080596
51,2301.95,1.71571,1.29278,1.69841,0.69084,0.60199,0.6462,0.28993,1.82451,1.31898,1.94589,0.00802,0.00802,0.00802
52,2346.07,1.73029,1.3162,1.71359,0.67025,0.63413,0.64705,0.29152,1.80229,1.31207,1.92863,0.0079804,0.0079804,0.0079804
53,2390.22,1.71637,1.29954,1.67884,0.69885,0.60666,0.64535,0.29784,1.80194,1.30816,1.92982,0.0079408,0.0079408,0.0079408
54,2434.33,1.70135,1.26014,1.69574,0.69099,0.63254,0.65321,0.31251,1.77271,1.27785,1.89707,0.0079012,0.0079012,0.0079012
55,2478.43,1.68698,1.25581,1.68239,0.69466,0.63589,0.65566,0.31109,1.76366,1.28388,1.8944,0.0078616,0.0078616,0.0078616
56,2522.48,1.68489,1.27086,1.68106,0.70102,0.63881,0.66676,0.30858,1.76366,1.23566,1.88972,0.007822,0.007822,0.007822
57,2566.62,1.68357,1.24473,1.66722,0.69146,0.64582,0.65907,0.31058,1.79822,1.2508,1.91144,0.0077824,0.0077824,0.0077824
58,2610.78,1.67127,1.23462,1.66624,0.69548,0.64737,0.66901,0.32013,1.72264,1.24377,1.86148,0.0077428,0.0077428,0.0077428
59,2654.95,1.6559,1.22407,1.65215,0.71677,0.63004,0.66532,0.31398,1.7649,1.24494,1.90152,0.0077032,0.0077032,0.0077032
60,2699.14,1.63971,1.21862,1.64782,0.73091,0.63024,0.67507,0.32918,1.73058,1.20671,1.87577,0.0076636,0.0076636,0.0076636
61,2743.3,1.64421,1.22053,1.64392,0.69922,0.64816,0.66981,0.31947,1.73385,1.22845,1.86261,0.007624,0.007624,0.007624
62,2787.45,1.61513,1.18283,1.62413,0.68514,0.64351,0.65575,0.32245,1.70982,1.21047,1.85735,0.0075844,0.0075844,0.0075844
63,2831.59,1.62402,1.18532,1.63028,0.72285,0.63565,0.67509,0.32783,1.70673,1.21192,1.84691,0.0075448,0.0075448,0.0075448
64,2875.7,1.61442,1.17858,1.62404,0.72064,0.65459,0.68906,0.33321,1.72704,1.19625,1.85231,0.0075052,0.0075052,0.0075052
65,2919.89,1.60248,1.16926,1.61804,0.69973,0.67387,0.67165,0.33107,1.70037,1.182,1.85295,0.0074656,0.0074656,0.0074656
66,2964.06,1.59534,1.13828,1.61211,0.70423,0.67154,0.68373,0.33984,1.68657,1.1829,1.84047,0.007426,0.007426,0.007426
67,3008.15,1.58219,1.13145,1.60963,0.69969,0.68206,0.67865,0.33524,1.70092,1.18342,1.84261,0.0073864,0.0073864,0.0073864
68,3052.23,1.56992,1.13806,1.5956,0.72156,0.67096,0.69029,0.34174,1.6969,1.16595,1.83819,0.0073468,0.0073468,0.0073468
69,3096.39,1.56755,1.12289,1.59578,0.74719,0.64603,0.69162,0.3431,1.67734,1.14255,1.82582,0.0073072,0.0073072,0.0073072
70,3140.58,1.56695,1.10818,1.59006,0.71146,0.66722,0.6847,0.34158,1.67383,1.16923,1.83821,0.0072676,0.0072676,0.0072676
71,3184.7,1.5502,1.09654,1.57606,0.70814,0.67271,0.69719,0.34806,1.67147,1.13905,1.82559,0.007228,0.007228,0.007228
72,3228.88,1.54304,1.09816,1.56407,0.72192,0.66457,0.68788,0.35556,1.65688,1.13968,1.78903,0.0071884,0.0071884,0.0071884
73,3273.02,1.54144,1.09749,1.56432,0.7521,0.66494,0.69275,0.34718,1.65765,1.15539,1.80736,0.0071488,0.0071488,0.0071488
74,3317.17,1.53707,1.09559,1.56204,0.71427,0.66628,0.6902,0.35505,1.65708,1.155,1.81238,0.0071092,0.0071092,0.0071092
75,3361.25,1.52841,1.08395,1.56079,0.72884,0.66452,0.68621,0.35218,1.6415,1.11713,1.81914,0.0070696,0.0070696,0.0070696
76,3405.29,1.49923,1.0596,1.53205,0.73461,0.67271,0.68784,0.35621,1.64617,1.11981,1.80083,0.00703,0.00703,0.00703
77,3449.36,1.50292,1.05932,1.54719,0.70404,0.70076,0.70288,0.36201,1.63336,1.09884,1.80635,0.0069904,0.0069904,0.0069904
78,3493.55,1.50633,1.06047,1.5451,0.72608,0.67621,0.69958,0.35991,1.62806,1.11922,1.8147,0.0069508,0.0069508,0.0069508
79,3537.64,1.48547,1.02747,1.53054,0.70165,0.71362,0.70658,0.37209,1.60352,1.1009,1.78683,0.0069112,0.0069112,0.0069112
80,3581.76,1.47926,1.0528,1.53792,0.71925,0.69316,0.70587,0.36782,1.629,1.09679,1.80889,0.0068716,0.0068716,0.0068716
81,3625.85,1.47212,1.02933,1.52815,0.71573,0.6975,0.70367,0.37067,1.61335,1.09407,1.78947,0.006832,0.006832,0.006832
82,3669.99,1.47756,1.02072,1.5337,0.71294,0.68556,0.70095,0.37244,1.60541,1.10193,1.79554,0.0067924,0.0067924,0.0067924
83,3714.12,1.45775,1.00944,1.50622,0.73243,0.69593,0.7125,0.37807,1.59892,1.06508,1.78847,0.0067528,0.0067528,0.0067528
84,3758.4,1.4491,0.99986,1.50412,0.72224,0.70193,0.71064,0.37697,1.5874,1.05941,1.76559,0.0067132,0.0067132,0.0067132
85,3802.5,1.4665,1.01152,1.51757,0.76488,0.66861,0.72068,0.38834,1.57224,1.05235,1.77416,0.0066736,0.0066736,0.0066736
86,3846.61,1.4466,1.00692,1.49913,0.73875,0.72297,0.73516,0.39214,1.5578,1.03783,1.75512,0.006634,0.006634,0.006634
87,3890.79,1.44851,0.99608,1.50192,0.74367,0.72234,0.72473,0.38931,1.55341,1.03686,1.74373,0.0065944,0.0065944,0.0065944
88,3934.99,1.42976,0.97869,1.48524,0.75293,0.69639,0.71976,0.3861,1.5603,1.04519,1.74324,0.0065548,0.0065548,0.0065548
89,3979.12,1.41988,0.96558,1.49343,0.72807,0.71829,0.73062,0.39146,1.55029,1.03763,1.75098,0.0065152,0.0065152,0.0065152
