image,gt_count,exp8_count,exp10_count,exp8_best_iou,exp10_best_iou,score
test_0258_caries_0_194,1,1,3,0.6722,0.2111,6.611
test_0172_783,1,1,2,0.9656,0.4639,6.018
test_0265_423,1,1,2,0.9656,0.4639,6.018
test_0090_703,1,1,2,0.9738,0.4759,5.979
test_0154_463,1,1,2,0.9738,0.4759,5.979
test_0311_223,1,1,2,0.9738,0.4759,5.979
test_0357_617,1,1,2,0.9795,0.4852,5.944
test_0324_454,1,1,2,0.9806,0.4866,5.939
test_0248_680,1,1,2,0.9760,0.4856,5.904
test_0308_560,1,1,2,0.9760,0.4856,5.904
test_0236_116,1,1,2,0.9795,0.4927,5.868
test_0142_399,1,1,2,0.9766,0.4950,5.816
test_0026_481,1,1,2,0.9671,0.4861,5.810
test_0153_361,1,1,2,0.9671,0.4861,5.810
test_0221_325,1,1,2,0.7900,0.4307,4.592
test_0069_279,2,1,2,0.7867,0.3298,4.568
test_0113_510,3,3,4,0.9608,0.6887,3.721
test_0025_(159),3,3,4,0.8858,0.6397,3.461
test_0322_caries_0_3854,2,3,5,0.4501,0.3198,3.304
test_0016_caries_0_22,1,1,1,0.9023,0.6157,2.865
test_0232_caries_0_3307,3,3,4,0.9461,0.7865,2.596
test_0375_266,5,5,6,0.9409,0.7819,2.590
test_0053_(236),4,6,8,0.4158,0.3581,2.577
test_0282_caries_0_3592,5,5,6,0.9091,0.7758,2.333
test_0021_caries_0_3478,2,3,3,0.8446,0.6213,2.233
test_0115_(162),4,5,5,0.6991,0.4797,2.195
test_0078_caries_0_29,2,2,3,0.6127,0.5137,1.990
test_0374_caries_0_29,2,2,3,0.6127,0.5137,1.990
test_0314_(88),4,7,8,0.5219,0.4465,1.754
test_0105_caries_0_3381,3,1,2,0.5803,0.4247,1.557
test_0353_51,2,2,2,0.9135,0.7581,1.554
test_0336_caries_0_3906,3,3,2,0.6506,0.5970,1.536
test_0162_(100),4,6,7,0.5115,0.4917,1.198
test_0150_134,4,5,3,0.6451,0.5343,1.108
test_0043_438,2,2,2,0.9160,0.8119,1.041
test_0141_176,3,3,3,0.8707,0.7708,0.999
test_0114_217,5,4,4,0.6209,0.5322,0.887
test_0125_591,1,1,1,0.9819,0.8938,0.881
test_0352_caries_0_5153,1,1,1,0.6222,0.5440,0.782
test_0313_caries_0_4528,3,4,4,0.7081,0.6370,0.711
test_0212_(206),2,1,1,0.0691,0.0000,0.691
test_0049_323,1,1,1,0.7741,0.7066,0.674
test_0063_323,1,1,1,0.7741,0.7066,0.674
test_0191_caries_0_4391,2,2,2,0.9558,0.8913,0.645
test_0147_860,1,1,1,0.9735,0.9137,0.598
test_0056_284,1,1,1,0.8353,0.7768,0.585
test_0382_711,1,1,1,0.9732,0.9153,0.579
test_0360_caries_0_3396,1,1,1,0.5844,0.5275,0.570
test_0082_408,1,1,1,0.8860,0.8320,0.540
test_0068_caries_0_4499,6,6,6,0.9183,0.8649,0.534
test_0384_caries_0_481,1,1,1,0.9573,0.9042,0.532
test_0340_(103),4,7,6,0.5758,0.5241,0.518
test_0108_157,2,2,2,0.9672,0.9156,0.515
test_0203_caries_0_4859,1,1,1,0.7309,0.6822,0.487
test_0157_333,1,1,1,0.9349,0.8867,0.482
test_0226_421,1,1,1,0.9768,0.9288,0.480
test_0280_306,1,1,1,0.9892,0.9423,0.469
test_0385_299,1,1,1,0.9516,0.9047,0.469
test_0287_caries_0_3689,4,4,4,0.9645,0.9188,0.457
test_0013_137,1,1,1,0.9740,0.9298,0.441
test_0343_262,1,1,1,0.9584,0.9146,0.438
test_0292_caries_0_5213,2,2,2,0.9578,0.9149,0.429
test_0070_269,2,2,2,0.8671,0.8244,0.426
test_0149_caries_0_3527,1,1,1,0.9216,0.8792,0.424
test_0086_caries_0_4674,4,4,4,0.9597,0.9174,0.423
test_0215_159,3,6,5,0.4904,0.4485,0.419
test_0168_(164),3,3,3,0.9572,0.9170,0.401
test_0010_(106),1,1,1,0.9595,0.9202,0.393
test_0061_887,1,1,1,0.9881,0.9527,0.354
test_0254_(237),4,5,5,0.6977,0.6632,0.346
test_0328_(182),9,9,9,0.7209,0.6869,0.339
test_0262_caries_0_4749,3,3,3,0.9461,0.9126,0.335
test_0084_caries_0_23,1,1,1,0.9883,0.9555,0.328
test_0096_138,7,9,8,0.7387,0.7060,0.327
test_0001_(250),5,7,6,0.5188,0.4863,0.325
test_0076_caries_0_3577,2,2,2,0.9536,0.9212,0.324
test_0228_430,1,1,1,0.9509,0.9195,0.314
test_0009_(30),1,3,3,0.3181,0.2871,0.311
test_0017_377,3,3,3,0.9454,0.9143,0.310
test_0359_caries_0_4200,3,3,3,0.9533,0.9223,0.310
test_0231_(69),1,1,1,0.6367,0.6060,0.307
test_0134_354,1,1,1,0.9502,0.9197,0.305
test_0036_199,8,8,8,0.9476,0.9170,0.305
test_0024_265,1,1,1,0.9795,0.9493,0.302
test_0237_caries_0_3882,1,1,1,0.9617,0.9323,0.294
test_0037_638,1,1,1,0.9820,0.9528,0.292
test_0091_caries_0_499,4,7,7,0.3696,0.3407,0.288
test_0275_caries_0_499,4,7,7,0.3696,0.3407,0.288
test_0156_(12),2,3,3,0.6049,0.5769,0.280
test_0033_585,1,1,1,0.9843,0.9566,0.277
test_0238_590,1,1,1,0.9655,0.9379,0.276
test_0097_caries_0_4057,1,1,1,0.9737,0.9466,0.271
test_0279_(186),7,9,9,0.5723,0.5452,0.271
test_0005_28,5,5,5,0.8880,0.8612,0.268
test_0289_caries_0_4345,1,1,1,0.9613,0.9345,0.268
test_0018_393,1,1,1,0.9786,0.9519,0.268
test_0040_691,1,1,1,0.9770,0.9518,0.252
test_0094_17,4,4,4,0.6846,0.6600,0.246
test_0131_caries_0_3914,3,3,3,0.9517,0.9271,0.246
test_0064_117,6,7,6,0.8023,0.7777,0.246
test_0152_caries_0_4603,2,2,2,0.9538,0.9295,0.243
test_0240_108,1,1,1,0.9739,0.9496,0.243
test_0103_caries_0_3372,2,2,2,0.9682,0.9441,0.242
test_0277_847,2,2,2,0.9797,0.9558,0.240
test_0196_caries_0_3946,2,2,2,0.9723,0.9493,0.230
test_0062_595,1,1,1,0.9937,0.9708,0.229
test_0268_235,1,1,1,0.9937,0.9708,0.229
test_0079_caries_0_217,1,3,3,0.2190,0.1965,0.225
test_0041_599,2,2,2,0.9704,0.9481,0.222
test_0144_13,8,8,8,0.9552,0.9336,0.217
test_0332_296,1,1,1,0.9693,0.9479,0.214
test_0293_caries_0_3975,1,1,1,0.9657,0.9444,0.213
test_0140_172,1,1,1,0.9772,0.9559,0.213
test_0241_caries_0_3616,1,1,1,0.9840,0.9630,0.209
test_0020_535,1,1,1,0.9859,0.9651,0.208
test_0178_312,2,2,2,0.8298,0.8091,0.207
test_0099_182,1,1,1,0.3545,0.3340,0.205
test_0300_473,1,1,1,0.9795,0.9592,0.203
test_0201_343,1,1,1,0.9657,0.9456,0.201
