001. test_0258_caries_0_194 | GT=1 | exp8=1 | exp10=3 | exp8_iou=0.672 | exp10_iou=0.211 | score=6.611
002. test_0172_783 | GT=1 | exp8=1 | exp10=2 | exp8_iou=0.966 | exp10_iou=0.464 | score=6.018
003. test_0265_423 | GT=1 | exp8=1 | exp10=2 | exp8_iou=0.966 | exp10_iou=0.464 | score=6.018
004. test_0090_703 | GT=1 | exp8=1 | exp10=2 | exp8_iou=0.974 | exp10_iou=0.476 | score=5.979
005. test_0154_463 | GT=1 | exp8=1 | exp10=2 | exp8_iou=0.974 | exp10_iou=0.476 | score=5.979
006. test_0311_223 | GT=1 | exp8=1 | exp10=2 | exp8_iou=0.974 | exp10_iou=0.476 | score=5.979
007. test_0357_617 | GT=1 | exp8=1 | exp10=2 | exp8_iou=0.980 | exp10_iou=0.485 | score=5.944
008. test_0324_454 | GT=1 | exp8=1 | exp10=2 | exp8_iou=0.981 | exp10_iou=0.487 | score=5.939
009. test_0248_680 | GT=1 | exp8=1 | exp10=2 | exp8_iou=0.976 | exp10_iou=0.486 | score=5.904
010. test_0308_560 | GT=1 | exp8=1 | exp10=2 | exp8_iou=0.976 | exp10_iou=0.486 | score=5.904
011. test_0236_116 | GT=1 | exp8=1 | exp10=2 | exp8_iou=0.979 | exp10_iou=0.493 | score=5.868
012. test_0142_399 | GT=1 | exp8=1 | exp10=2 | exp8_iou=0.977 | exp10_iou=0.495 | score=5.816
013. test_0026_481 | GT=1 | exp8=1 | exp10=2 | exp8_iou=0.967 | exp10_iou=0.486 | score=5.810
014. test_0153_361 | GT=1 | exp8=1 | exp10=2 | exp8_iou=0.967 | exp10_iou=0.486 | score=5.810
015. test_0221_325 | GT=1 | exp8=1 | exp10=2 | exp8_iou=0.790 | exp10_iou=0.431 | score=4.592
016. test_0069_279 | GT=2 | exp8=1 | exp10=2 | exp8_iou=0.787 | exp10_iou=0.330 | score=4.568
017. test_0113_510 | GT=3 | exp8=3 | exp10=4 | exp8_iou=0.961 | exp10_iou=0.689 | score=3.721
018. test_0025_(159) | GT=3 | exp8=3 | exp10=4 | exp8_iou=0.886 | exp10_iou=0.640 | score=3.461
019. test_0322_caries_0_3854 | GT=2 | exp8=3 | exp10=5 | exp8_iou=0.450 | exp10_iou=0.320 | score=3.304
020. test_0016_caries_0_22 | GT=1 | exp8=1 | exp10=1 | exp8_iou=0.902 | exp10_iou=0.616 | score=2.865
